Countries,Unemployment rate,Infant Mortality per 1000 births,GDP per capita,Literacy,Phones per 1000 people,Service,Deathrate,Life Expectancy,Access to electricity,Internet Usage 
Mali,1.496,116.79,900,46.4,6.4,0.38,16.89,58.2,43.1,13
Malta,4,3.89,17700,92.8,505,0.74,8.1,81.7,100,81
Mauritania,10.34,70.89,1800,41.7,12.9,0.46,12.16,63.1,42.9,20.8
Mauritius,6.75,15.03,11400,85.6,289.3,0.643,6.86,74.6,98,55.4
Mexico,3.42,20.91,9000,92.2,181.6,0.702,4.74,76.7,100,63.9
Mongolia,6.36,53.79,1800,97.8,55.1,0.58,6.95,68.8,85.9,23.7
Morocco,9.687,41.62,4000,51.7,40.4,0.426,5.58,74.3,100,61.8
Mozambique,3.588,130.79,1200,47.8,3.5,0.39,21.35,57.6,27.4,10
Namibia,21.783,48.98,7200,84,62.6,0.588,18.86,65.8,52.5,51
Nepal,10.66,66.98,1400,45.2,15.9,0.41,9.31,69.2,95.5,34
Netherlands,4.84,5.04,28600,99,460.8,0.736,8.68,81.9,100,93.2
New Zealand,4.74,5.85,21600,99,441.7,0.684,7.53,81.6,100,90.8
Nicaragua,3.3,29.11,2300,67.5,39.7,0.56,4.45,74.8,86.8,27.9
Niger,0.572,121.69,800,17.6,1.9,0.44,20.91,61.8,20,10.2
Nigeria,4.885,98.8,900,68,9.3,0.244,16.94,54.5,54.4,42
Norway,4.16,3.7,37800,100,461.7,0.564,9.4,81.8,100,96.4
Oman,2.526,19.51,13100,75.8,85.5,0.583,3.81,76.6,100,80.2
Pakistan,3.187,72.44,2100,45.7,31.8,0.533,8.23,66.4,70.8,15.5
Panama,5.392,20.47,6300,92.6,137.9,0.776,5.36,77.8,100,57.9
Paraguay,6.14,25.63,4700,94,49.2,0.569,4.49,74,99.3,61.1
Peru,3.69,31.94,5100,90.9,79.5,0.65,6.23,75.5,96.4,48.7
Philippines,2.55,23.51,4600,92.6,38.4,0.53,5.41,68.5,93,60.1
Poland,4.89,8.51,11100,99.8,306.3,0.64,9.89,77.5,100,76
Portugal,8.87,5.05,18000,93.3,399.2,0.673,10.5,81.1,100,73.8
Qatar,0.14,18.61,21500,82.5,232,0.197,4.72,78.2,100,97.4
Romania,4.93,26.43,7000,98.4,196.9,0.549,11.77,75,100,63.7
Rwanda,11.88,91.23,1300,70.4,2.7,0.37,16.09,66.1,34.1,21.8
Samoa,9.4,27.71,5600,99.7,75.2,0.302,6.62,74,96.8,33.6
Saudi Arabia,5.89,13.24,11800,78.8,140.6,0.354,2.58,74.5,100,82.1
Senegal,4.08,55.51,1600,40.2,22.2,0.619,9.42,66.7,61.7,46
Sierra Leone,3.953,143.64,500,31.4,4,0.21,23.03,51,23.4,9
Singapore,4.2,2.29,23700,92.5,411.4,0.661,4.28,83.1,100,84.4
Slovenia,6.57,4.45,19000,99.7,406.1,0.603,10.31,88,100,78.9
Somalia,18.497,116.7,500,37.8,11.3,0.25,16.63,55,32.9,2
South Africa,23.99,61.81,10700,86.4,107,0.671,22,62.9,84.4,56.2
Spain,17.22,4.42,22000,97.9,453.5,0.665,9.72,82.8,100,84.6
Sri Lanka,4.05,14.35,3700,92.3,61.5,0.545,6.52,74.9,97.5,34.1
Sudan,17.141,62.5,1900,61.1,16.3,0.41,8.97,64.1,56.5,30.9
Suriname,7.885,23.57,4000,93,184.7,0.65,7.27,71.6,96.8,48.9
Sweden,6.72,2.77,26800,99,715,0.707,10.31,82.4,100,95.5
Switzerland,4.8,4.39,32700,99,680.9,0.645,8.49,83.4,100,89.7
Tajikistan,6.898,110.76,1000,99.4,33.5,0.48,8.25,69.7,99.3,22
Thailand,0.83,20.48,7400,92.6,108.9,0.46,7.04,74.9,100,52.9
Togo,3.74,66.61,1500,60.9,10.6,0.401,9.83,59.9,48,12.4
Tonga,2.136,12.62,2200,98.5,97.7,0.5,5.28,73.5,98,41.2
Tunisia,15.33,24.77,6900,74.2,123.6,0.55,5.13,75.3,100,64.2
Turkey,10.82,41.04,6700,86.5,269.5,0.585,5.97,75.8,100,64.7
Turkmenistan,4.036,73.08,5800,98,74.6,0.411,8.6,66.3,100,21.3
Uganda,3.64,67.83,1400,69.9,3.6,0.469,12.24,62.3,22,23.7
Ukraine,9.5,20.34,5400,99.7,259.9,0.361,14.39,71.3,100,58.9
United Arab Emirates,2.46,14.51,23200,77.9,475.3,0.375,4.4,77.1,100,94.8
Uruguay,7.89,11.95,12800,98,291.4,0.596,9.05,77,100,68.3
Uzbekistan,5.83,71.1,1700,99.3,62.9,0.43,7.84,69.4,100,52.3
Vanuatu,5.282,55.16,2900,53,32.6,0.62,7.82,72,62.8,25.7
Zambia,8.52,88.29,800,80.6,8.2,0.489,19.93,61.8,40.3,27.9
Zimbabwe,6.349,67.69,1900,90.7,26.8,0.579,21.84,67,40.4,27.1
